,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,Dew,humidity,Precipitation,precipcover,windspeed,winddir,cloudcover,solarenergy,uvindex,moonphase,icon_cloudy,icon_partly-cloudy-day,icon_rain,icon_snow
0,1272758400.0,16.3,1.6,7.8,16.3,-0.7,7.1,-4.83,29.9,0.0,0.0,19.8,284.5,6.2,18.2,8,0.7,0,0,0,0
1,1275436800.0,17.9,3.7,8.7,17.9,1.9,7.8,-4.7,41.5,0.0,0.0,20.2,299.7,48.4,14.7,7,0.75,0,1,0,0
2,1278028800.0,16.5,4.6,9.0,16.5,3.0,8.3,0.5,56.8,0.0,0.0,17.3,341.4,67.6,11.1,6,0.77,0,1,0,0
3,1280707200.0,9.3,3.3,6.5,7.6,0.1,4.6,3.8,83.3,11.3,62.5,13.0,89.9,98.5,4.3,2,0.8,0,0,1,0
4,1283385600.0,9.9,0.3,4.5,7.2,-3.3,1.9,2.6,88.5,19.1,100.0,20.5,123.7,64.5,12.6,5,0.84,0,0,1,0
5,1285977600.0,13.5,-0.5,5.9,13.5,-3.8,4.5,-1.9,61.2,0.1,4.17,13.7,111.4,41.1,18.1,8,0.87,0,0,1,0
6,1288656000.0,16.3,0.8,7.8,16.3,-1.9,6.9,-4.83,41.8,0.0,0.0,14.8,117.4,25.1,20.1,8,0.9,0,1,0,0
7,1291248000.0,11.1,2.4,6.3,11.1,0.0,5.4,-2.3,55.3,1.5,33.33,10.4,4.2,39.7,14.4,6,0.94,0,0,1,0
8,1266019200.0,14.6,1.1,6.7,14.6,-1.8,5.6,-4.83,44.0,0.0,0.0,11.5,294.3,27.3,20.1,8,0.97,0,1,0,0
9,1266105600.0,14.7,0.1,6.6,14.7,-2.9,5.4,-4.83,38.8,0.0,0.0,15.5,184.9,7.7,20.5,8,0.0,0,0,0,0
10,1266192000.0,14.0,0.1,6.5,14.0,-3.2,5.4,-4.83,40.4,0.0,0.0,13.7,110.4,42.1,15.8,7,0.04,0,1,0,0
11,1266278400.0,14.4,1.0,7.3,14.4,-1.9,6.3,-2.9,50.6,0.0,0.0,13.7,171.5,9.5,18.6,8,0.07,0,0,0,0
12,1266364800.0,13.7,1.8,6.7,13.7,-0.6,5.7,-2.7,53.3,0.0,0.0,14.0,287.5,8.3,18.6,8,0.11,0,0,0,0
13,1266451200.0,17.2,0.8,8.0,17.2,-1.6,7.2,-4.83,39.2,0.0,0.0,18.4,280.5,3.4,21.0,9,0.14,0,0,0,0
14,1266537600.0,17.7,3.3,9.4,17.7,1.7,8.7,-4.83,38.0,0.0,0.0,17.3,267.4,2.1,21.0,9,0.18,0,0,0,0
15,1266624000.0,18.4,3.4,9.6,18.4,1.8,9.0,-4.83,35.7,0.0,0.0,19.8,274.3,0.0,21.2,9,0.21,0,0,0,0
16,1266710400.0,20.1,4.6,11.3,20.1,3.1,10.9,-4.83,34.3,0.0,0.0,18.0,269.5,11.2,21.5,9,0.25,0,0,0,0
17,1266796800.0,20.2,5.8,11.7,20.2,4.6,11.5,-3.3,37.8,0.0,0.0,19.8,272.5,35.4,21.1,9,0.25,0,1,0,0
18,1266883200.0,12.7,3.2,7.6,12.7,1.0,7.1,2.3,70.2,5.2,58.33,14.8,176.2,72.5,12.4,6,0.31,0,0,1,0
19,1266969600.0,16.8,3.4,9.1,16.8,1.8,8.5,0.7,58.5,0.0,0.0,16.9,280.6,30.5,19.4,8,0.35,0,1,0,0
20,1267056000.0,18.4,4.5,10.4,18.4,3.3,9.9,-0.3,51.0,0.0,0.0,16.9,257.9,50.3,19.5,8,0.38,0,1,0,0
21,1267142400.0,19.7,6.4,11.7,19.7,5.5,11.4,0.0,47.4,0.0,0.0,20.2,276.2,47.2,20.0,8,0.42,0,1,0,0
22,1267228800.0,21.5,5.8,12.4,21.5,4.4,12.0,-0.2,46.5,0.0,0.0,26.3,280.8,13.4,21.3,9,0.45,0,0,0,0
23,1267315200.0,22.0,8.3,13.9,22.0,7.4,13.7,0.6,43.6,0.0,0.0,23.4,279.5,61.7,21.3,9,0.5,0,1,0,0
24,1262476800.0,18.5,7.6,12.5,18.5,6.4,12.2,4.1,58.7,0.0,0.0,13.3,301.5,40.2,18.2,7,0.52,0,1,0,0
25,1265155200.0,20.7,5.7,12.3,20.7,4.2,11.8,-0.6,45.9,0.0,0.0,23.4,283.9,5.3,22.7,9,0.55,0,0,0,0
26,1267574400.0,17.5,6.5,11.2,17.5,4.9,10.7,-4.4,35.6,0.0,0.0,16.2,307.7,67.1,10.4,4,0.58,0,1,0,0
27,1270252800.0,19.4,6.1,11.6,19.4,4.3,10.8,0.1,49.0,1.2,29.17,16.2,281.4,18.0,20.9,8,0.62,0,0,1,0
28,1272844800.0,19.5,5.7,11.5,19.5,4.0,10.9,2.6,59.2,0.9,12.5,19.1,281.8,6.2,22.7,9,0.65,0,0,1,0
29,1275523200.0,21.4,5.2,12.3,21.4,3.3,11.7,-4.7,36.0,0.0,0.0,19.1,277.2,18.2,24.0,9,0.68,0,0,0,0
30,1278115200.0,19.2,5.7,11.5,19.2,4.2,10.9,-2.6,39.9,0.0,0.0,17.3,292.2,0.8,23.5,9,0.75,0,0,0,0
31,1280793600.0,20.4,5.3,11.9,20.4,3.3,11.4,-2.1,41.9,0.0,0.0,20.2,261.4,0.0,24.0,9,0.75,0,0,0,0
32,1283472000.0,21.3,3.7,12.0,21.3,1.3,11.4,-3.4,38.9,0.0,0.0,18.4,254.4,0.0,24.2,9,0.78,0,0,0,0
33,1286064000.0,21.9,3.9,12.5,21.9,1.1,11.7,-4.4,34.8,0.0,0.0,22.0,291.7,0.0,24.0,9,0.82,0,0,0,0
34,1288742400.0,22.7,7.4,13.8,22.7,6.2,13.5,-4.83,30.0,0.0,0.0,19.8,264.5,0.0,24.0,9,0.85,0,0,0,0
35,1291334400.0,21.1,6.4,12.9,21.1,4.7,12.4,-4.5,32.5,0.0,0.0,20.9,274.3,26.2,22.1,8,0.88,0,1,0,0
36,1268438400.0,22.1,6.9,13.5,22.1,5.6,13.1,-2.7,35.7,0.0,0.0,25.2,275.8,1.8,24.3,9,0.91,0,0,0,0
37,1268524800.0,21.4,8.9,14.3,21.4,8.5,14.1,-0.9,37.3,0.0,0.0,20.9,251.1,26.8,23.1,9,0.95,0,1,0,0
38,1268611200.0,23.1,8.3,15.1,23.1,7.1,14.9,-1.7,34.5,0.0,0.0,21.6,213.7,51.7,22.4,9,0.98,0,1,0,0
39,1268697600.0,23.1,8.3,15.2,23.1,6.8,14.8,-0.9,35.9,0.0,0.0,19.4,200.0,10.8,22.2,9,0.0,0,0,0,0
40,1268784000.0,23.1,8.6,15.2,23.1,7.9,15.0,-1.7,33.6,0.0,0.0,19.8,237.2,1.3,23.8,9,0.05,0,0,0,0
41,1268870400.0,24.5,9.8,16.2,24.5,9.3,16.1,0.0,35.8,0.0,0.0,21.6,248.1,9.6,23.9,9,0.08,0,0,0,0
42,1268956800.0,26.6,10.9,17.8,26.6,10.9,17.8,1.3,35.4,0.0,0.0,19.8,247.2,0.2,24.8,10,0.12,0,0,0,0
43,1269043200.0,27.4,12.3,18.8,26.5,12.3,18.7,2.0,34.8,0.0,0.0,19.1,235.3,7.5,24.8,9,0.15,0,0,0,0
44,1269129600.0,28.0,13.4,19.4,26.6,13.4,19.2,1.3,32.4,0.0,0.0,27.0,272.1,27.4,24.8,10,0.19,0,1,0,0
45,1269216000.0,28.3,12.8,19.2,26.8,12.8,18.9,-2.2,26.5,0.0,0.0,29.5,276.3,56.5,25.0,10,0.22,0,1,0,0
46,1269302400.0,27.4,11.9,18.8,26.6,11.9,18.6,-3.4,24.3,0.0,0.0,20.5,276.6,18.3,25.6,10,0.25,0,0,0,0
