Name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,Dew,humidity,Precipitation,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
joshimath,05-02-2010,16.3,1.6,7.8,16.3,-0.7,7.1,-9.8,29.9,0,0,0,,,,,19.8,284.5,,6.2,,213,18.2,8,,2010-02-05T07:00:39,2010-02-05T17:51:11,0.7,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,06-02-2010,17.9,3.7,8.7,17.9,1.9,7.8,-4.7,41.5,0,0,0,,,,,20.2,299.7,,48.4,,172.4,14.7,7,,2010-02-06T06:59:56,2010-02-06T17:52:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,07-02-2010,16.5,4.6,9,16.5,3,8.3,0.5,56.8,0,0,0,,,,,17.3,341.4,,67.6,,127.5,11.1,6,,2010-02-07T06:59:13,2010-02-07T17:52:54,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,08-02-2010,9.3,3.3,6.5,7.6,0.1,4.6,3.8,83.3,11.3,100,62.5,rain,,,,13,89.9,,98.5,,48.6,4.3,2,,2010-02-08T06:58:28,2010-02-08T17:53:45,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
joshimath,09-02-2010,9.9,0.3,4.5,7.2,-3.3,1.9,2.6,88.5,19.1,100,100,"rain,snow",,,,20.5,123.7,,64.5,,145,12.6,5,,2010-02-09T06:57:42,2010-02-09T17:54:36,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,remote
joshimath,10-02-2010,13.5,-0.5,5.9,13.5,-3.8,4.5,-1.9,61.2,0.1,100,4.17,rain,,,,13.7,111.4,,41.1,,210,18.1,8,,2010-02-10T06:56:54,2010-02-10T17:55:26,0.87,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,remote
joshimath,11-02-2010,16.3,0.8,7.8,16.3,-1.9,6.9,-5.6,41.8,0,0,0,,,,,14.8,117.4,,25.1,,231.9,20.1,8,,2010-02-11T06:56:05,2010-02-11T17:56:16,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,12-02-2010,11.1,2.4,6.3,11.1,0,5.4,-2.3,55.3,1.5,100,33.33,rain,,,,10.4,4.2,,39.7,,167,14.4,6,,2010-02-12T06:55:15,2010-02-12T17:57:06,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
joshimath,13-02-2010,14.6,1.1,6.7,14.6,-1.8,5.6,-5.8,44,0,0,0,,,,,11.5,294.3,,27.3,,232.4,20.1,8,,2010-02-13T06:54:24,2010-02-13T17:57:55,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,14-02-2010,14.7,0.1,6.6,14.7,-2.9,5.4,-7.5,38.8,0,0,0,,,,,15.5,184.9,,7.7,,236,20.5,8,,2010-02-14T06:53:32,2010-02-14T17:58:44,0,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,15-02-2010,14,0.1,6.5,14,-3.2,5.4,-7,40.4,0,0,0,,,,,13.7,110.4,,42.1,,182.6,15.8,7,,2010-02-15T06:52:39,2010-02-15T17:59:33,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,16-02-2010,14.4,1,7.3,14.4,-1.9,6.3,-2.9,50.6,0,0,0,,,,,13.7,171.5,,9.5,,215.6,18.6,8,,2010-02-16T06:51:44,2010-02-16T18:00:21,0.07,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,17-02-2010,13.7,1.8,6.7,13.7,-0.6,5.7,-2.7,53.3,0,0,0,,,,,14,287.5,,8.3,,215,18.6,8,,2010-02-17T06:50:49,2010-02-17T18:01:09,0.11,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,18-02-2010,17.2,0.8,8,17.2,-1.6,7.2,-6.3,39.2,0,0,0,,,,,18.4,280.5,,3.4,,244,21,9,,2010-02-18T06:49:52,2010-02-18T18:01:56,0.14,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,19-02-2010,17.7,3.3,9.4,17.7,1.7,8.7,-5.2,38,0,0,0,,,,,17.3,267.4,,2.1,,243.3,21,9,,2010-02-19T06:48:55,2010-02-19T18:02:43,0.18,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,20-02-2010,18.4,3.4,9.6,18.4,1.8,9,-5.9,35.7,0,0,0,,,,,19.8,274.3,,0,,248.5,21.2,9,,2010-02-20T06:47:56,2010-02-20T18:03:30,0.21,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,21-02-2010,20.1,4.6,11.3,20.1,3.1,10.9,-5,34.3,0,0,0,,,,,18,269.5,,11.2,,249.9,21.5,9,,2010-02-21T06:46:57,2010-02-21T18:04:16,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,22-02-2010,20.2,5.8,11.7,20.2,4.6,11.5,-3.3,37.8,0,0,0,,,,,19.8,272.5,,35.4,,246.6,21.1,9,,2010-02-22T06:45:56,2010-02-22T18:05:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,23-02-2010,12.7,3.2,7.6,12.7,1,7.1,2.3,70.2,5.2,100,58.33,rain,,,,14.8,176.2,,72.5,,144.5,12.4,6,,2010-02-23T06:44:55,2010-02-23T18:05:47,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
joshimath,24-02-2010,16.8,3.4,9.1,16.8,1.8,8.5,0.7,58.5,0,0,0,,,,,16.9,280.6,,30.5,,228.3,19.4,8,,2010-02-24T06:43:53,2010-02-24T18:06:32,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
joshimath,25-02-2010,18.4,4.5,10.4,18.4,3.3,9.9,-0.3,51,0,0,0,,,,,16.9,257.9,,50.3,,226.2,19.5,8,,2010-02-25T06:42:50,2010-02-25T18:07:17,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,26-02-2010,19.7,6.4,11.7,19.7,5.5,11.4,0,47.4,0,0,0,,,,,20.2,276.2,,47.2,,230.9,20,8,,2010-02-26T06:41:46,2010-02-26T18:08:01,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,27-02-2010,21.5,5.8,12.4,21.5,4.4,12,-0.2,46.5,0,0,0,,,,,26.3,280.8,,13.4,,247.3,21.3,9,,2010-02-27T06:40:42,2010-02-27T18:08:45,0.45,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,28-02-2010,22,8.3,13.9,22,7.4,13.7,0.6,43.6,0,0,0,,,,,23.4,279.5,,61.7,,246.9,21.3,9,,2010-02-28T06:39:36,2010-02-28T18:09:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,01-03-2010,18.5,7.6,12.5,18.5,6.4,12.2,4.1,58.7,0,0,0,,,,,13.3,301.5,,40.2,,211,18.2,7,,2010-03-01T06:38:30,2010-03-01T18:10:12,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
joshimath,02-03-2010,20.7,5.7,12.3,20.7,4.2,11.8,-0.6,45.9,0,0,0,,,,,23.4,283.9,,5.3,,263.3,22.7,9,,2010-03-02T06:37:24,2010-03-02T18:10:55,0.55,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,03-03-2010,17.5,6.5,11.2,17.5,4.9,10.7,-4.4,35.6,0,0,0,,,,,16.2,307.7,,67.1,,120.7,10.4,4,,2010-03-03T06:36:17,2010-03-03T18:11:38,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,04-03-2010,19.4,6.1,11.6,19.4,4.3,10.8,0.1,49,1.2,100,29.17,rain,,,,16.2,281.4,,18,,242.3,20.9,8,,2010-03-04T06:35:09,2010-03-04T18:12:20,0.62,Rain,Clear conditions throughout the day with rain.,rain,remote
joshimath,05-03-2010,19.5,5.7,11.5,19.5,4,10.9,2.6,59.2,0.9,100,12.5,rain,,,,19.1,281.8,,6.2,,261.4,22.7,9,,2010-03-05T06:34:00,2010-03-05T18:13:02,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
joshimath,06-03-2010,21.4,5.2,12.3,21.4,3.3,11.7,-4.7,36,0,0,0,,,,,19.1,277.2,,18.2,,277.5,24,9,,2010-03-06T06:32:51,2010-03-06T18:13:43,0.68,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,07-03-2010,19.2,5.7,11.5,19.2,4.2,10.9,-2.6,39.9,0,0,0,,,,,17.3,292.2,,0.8,,270.6,23.5,9,,2010-03-07T06:31:42,2010-03-07T18:14:24,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,08-03-2010,20.4,5.3,11.9,20.4,3.3,11.4,-2.1,41.9,0,0,0,,,,,20.2,261.4,,0,,276.5,24,9,,2010-03-08T06:30:32,2010-03-08T18:15:05,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,09-03-2010,21.3,3.7,12,21.3,1.3,11.4,-3.4,38.9,0,0,0,,,,,18.4,254.4,,0,,279.9,24.2,9,,2010-03-09T06:29:21,2010-03-09T18:15:46,0.78,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,10-03-2010,21.9,3.9,12.5,21.9,1.1,11.7,-4.4,34.8,0,0,0,,,,,22,291.7,,0,,277.3,24,9,,2010-03-10T06:28:10,2010-03-10T18:16:27,0.82,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,11-03-2010,22.7,7.4,13.8,22.7,6.2,13.5,-4.9,30,0,0,0,,,,,19.8,264.5,,0,,277.8,24,9,,2010-03-11T06:26:59,2010-03-11T18:17:07,0.85,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,12-03-2010,21.1,6.4,12.9,21.1,4.7,12.4,-4.5,32.5,0,0,0,,,,,20.9,274.3,,26.2,,253.5,22.1,8,,2010-03-12T06:25:47,2010-03-12T18:17:47,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,13-03-2010,22.1,6.9,13.5,22.1,5.6,13.1,-2.7,35.7,0,0,0,,,,,25.2,275.8,,1.8,,281.4,24.3,9,,2010-03-13T06:24:35,2010-03-13T18:18:26,0.91,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,14-03-2010,21.4,8.9,14.3,21.4,8.5,14.1,-0.9,37.3,0,0,0,,,,,20.9,251.1,,26.8,,266.8,23.1,9,,2010-03-14T06:23:23,2010-03-14T18:19:06,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,15-03-2010,23.1,8.3,15.1,23.1,7.1,14.9,-1.7,34.5,0,0,0,,,,,21.6,213.7,,51.7,,259.8,22.4,9,,2010-03-15T06:22:10,2010-03-15T18:19:45,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
joshimath,16-03-2010,23.1,8.3,15.2,23.1,6.8,14.8,-0.9,35.9,0,0,0,,,,,19.4,200,,10.8,,256.7,22.2,9,,2010-03-16T06:20:57,2010-03-16T18:20:24,0,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,17-03-2010,23.1,8.6,15.2,23.1,7.9,15,-1.7,33.6,0,0,0,,,,,19.8,237.2,,1.3,,275.8,23.8,9,,2010-03-17T06:19:44,2010-03-17T18:21:03,0.05,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,18-03-2010,24.5,9.8,16.2,24.5,9.3,16.1,0,35.8,0,0,0,,,,,21.6,248.1,,9.6,,276.7,23.9,9,,2010-03-18T06:18:31,2010-03-18T18:21:42,0.08,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,19-03-2010,26.6,10.9,17.8,26.6,10.9,17.8,1.3,35.4,0,0,0,,,,,19.8,247.2,,0.2,,287.4,24.8,10,,2010-03-19T06:17:17,2010-03-19T18:22:20,0.12,Clear,Clear conditions throughout the day.,clear-day,remote
joshimath,20-03-2010,27.4,12.3,18.8,26.5,12.3,18.7,2,34.8,0,0,0,,,,,19.1,235.3,,7.5,,286.7,24.8,9,,2010-03-20T06:16:04,2010-03-20T18:22:58,0.15,Clear,Clear conditions throughout the day.,clear-day,remote
