,icon_rain,cloudcover,precipcover,humidity,dew,tempmin,feelslikemin,solarenergy,temp,uvindex,icon_partly-cloudy-day,Precipitation
0,False,6.2,0.0,29.9,-4.83,1.6,-0.7,18.2,7.8,8,False,0.0
1,False,48.4,0.0,41.5,-4.7,3.7,1.9,14.7,8.7,7,True,0.0
2,False,67.6,0.0,56.8,0.5,4.6,3.0,11.1,9.0,6,True,0.0
3,True,98.5,62.5,83.3,3.8,3.3,0.1,4.3,6.5,2,False,11.3
4,True,64.5,100.0,88.5,2.6,0.3,-3.3,12.6,4.5,5,False,19.1
5,True,41.1,4.17,61.2,-1.9,-0.5,-3.8,18.1,5.9,8,False,0.1
6,False,25.1,0.0,41.8,-4.83,0.8,-1.9,20.1,7.8,8,True,0.0
7,True,39.7,33.33,55.3,-2.3,2.4,0.0,14.4,6.3,6,False,1.5
8,False,27.3,0.0,44.0,-4.83,1.1,-1.8,20.1,6.7,8,True,0.0
9,False,7.7,0.0,38.8,-4.83,0.1,-2.9,20.5,6.6,8,False,0.0
10,False,42.1,0.0,40.4,-4.83,0.1,-3.2,15.8,6.5,7,True,0.0
11,False,9.5,0.0,50.6,-2.9,1.0,-1.9,18.6,7.3,8,False,0.0
12,False,8.3,0.0,53.3,-2.7,1.8,-0.6,18.6,6.7,8,False,0.0
13,False,3.4,0.0,39.2,-4.83,0.8,-1.6,21.0,8.0,9,False,0.0
14,False,2.1,0.0,38.0,-4.83,3.3,1.7,21.0,9.4,9,False,0.0
15,False,0.0,0.0,35.7,-4.83,3.4,1.8,21.2,9.6,9,False,0.0
16,False,11.2,0.0,34.3,-4.83,4.6,3.1,21.5,11.3,9,False,0.0
17,False,35.4,0.0,37.8,-3.3,5.8,4.6,21.1,11.7,9,True,0.0
18,True,72.5,58.33,70.2,2.3,3.2,1.0,12.4,7.6,6,False,5.2
19,False,30.5,0.0,58.5,0.7,3.4,1.8,19.4,9.1,8,True,0.0
20,False,50.3,0.0,51.0,-0.3,4.5,3.3,19.5,10.4,8,True,0.0
21,False,47.2,0.0,47.4,0.0,6.4,5.5,20.0,11.7,8,True,0.0
22,False,13.4,0.0,46.5,-0.2,5.8,4.4,21.3,12.4,9,False,0.0
23,False,61.7,0.0,43.6,0.6,8.3,7.4,21.3,13.9,9,True,0.0
24,False,40.2,0.0,58.7,4.1,7.6,6.4,18.2,12.5,7,True,0.0
25,False,5.3,0.0,45.9,-0.6,5.7,4.2,22.7,12.3,9,False,0.0
26,False,67.1,0.0,35.6,-4.4,6.5,4.9,10.4,11.2,4,True,0.0
27,True,18.0,29.17,49.0,0.1,6.1,4.3,20.9,11.6,8,False,1.2
28,True,6.2,12.5,59.2,2.6,5.7,4.0,22.7,11.5,9,False,0.9
29,False,18.2,0.0,36.0,-4.7,5.2,3.3,24.0,12.3,9,False,0.0
30,False,0.8,0.0,39.9,-2.6,5.7,4.2,23.5,11.5,9,False,0.0
31,False,0.0,0.0,41.9,-2.1,5.3,3.3,24.0,11.9,9,False,0.0
32,False,0.0,0.0,38.9,-3.4,3.7,1.3,24.2,12.0,9,False,0.0
33,False,0.0,0.0,34.8,-4.4,3.9,1.1,24.0,12.5,9,False,0.0
34,False,0.0,0.0,30.0,-4.83,7.4,6.2,24.0,13.8,9,False,0.0
35,False,26.2,0.0,32.5,-4.5,6.4,4.7,22.1,12.9,8,True,0.0
36,False,1.8,0.0,35.7,-2.7,6.9,5.6,24.3,13.5,9,False,0.0
37,False,26.8,0.0,37.3,-0.9,8.9,8.5,23.1,14.3,9,True,0.0
38,False,51.7,0.0,34.5,-1.7,8.3,7.1,22.4,15.1,9,True,0.0
39,False,10.8,0.0,35.9,-0.9,8.3,6.8,22.2,15.2,9,False,0.0
40,False,1.3,0.0,33.6,-1.7,8.6,7.9,23.8,15.2,9,False,0.0
41,False,9.6,0.0,35.8,0.0,9.8,9.3,23.9,16.2,9,False,0.0
42,False,0.2,0.0,35.4,1.3,10.9,10.9,24.8,17.8,10,False,0.0
43,False,7.5,0.0,34.8,2.0,12.3,12.3,24.8,18.8,9,False,0.0
44,False,27.4,0.0,32.4,1.3,13.4,13.4,24.8,19.4,10,True,0.0
45,False,56.5,0.0,26.5,-2.2,12.8,12.8,25.0,19.2,10,True,0.0
46,False,18.3,0.0,24.3,-3.4,11.9,11.9,25.6,18.8,10,False,0.0
47,False,0.0,0.0,24.2,-3.3,12.4,12.4,25.9,18.8,10,False,0.0
48,False,36.4,0.0,24.9,-2.9,11.6,11.6,22.6,18.9,10,True,0.0
49,False,11.5,0.0,26.2,-1.6,12.5,12.5,24.6,19.1,10,False,0.0
50,False,6.2,0.0,28.4,-1.5,10.8,10.8,24.9,18.1,10,False,0.0
51,False,0.3,0.0,26.3,-3.3,10.1,10.1,26.6,17.8,10,False,0.0
52,False,0.1,0.0,24.1,-3.7,11.9,11.9,26.7,18.4,10,False,0.0
53,False,16.0,0.0,28.1,-1.6,12.3,12.3,22.3,18.0,8,False,0.0
54,False,1.9,0.0,25.2,-4.3,9.0,7.4,26.0,17.0,10,False,0.0
55,False,0.0,0.0,19.2,-4.83,9.3,8.6,27.4,16.6,10,False,0.0
56,False,0.0,0.0,18.8,-4.83,9.1,8.1,27.8,17.2,10,False,0.0
57,False,14.7,0.0,24.7,-3.6,10.4,10.4,25.7,17.5,10,False,0.0
58,False,0.0,0.0,23.4,-4.5,10.8,10.8,27.6,17.9,10,False,0.0
59,False,0.0,0.0,22.5,-4.83,10.6,10.6,27.7,18.1,10,False,0.0
60,False,0.0,0.0,19.4,-4.83,10.7,10.7,28.4,17.9,10,False,0.0
61,False,25.4,0.0,15.1,-4.83,12.4,12.4,28.3,20.2,10,True,0.0
62,False,85.5,0.0,14.3,-4.83,13.1,13.1,24.7,21.0,9,True,0.0
63,False,77.0,0.0,15.2,-4.83,13.8,13.8,26.5,21.5,10,True,0.0
64,False,4.5,0.0,20.4,-3.4,13.1,13.1,27.5,21.2,10,False,0.0
65,False,58.7,0.0,22.3,-2.0,14.4,14.4,25.0,21.3,9,True,0.0
66,False,39.2,0.0,23.1,-1.3,14.1,14.1,23.8,21.4,8,True,0.0
67,False,3.9,0.0,22.5,-2.1,14.3,14.3,27.9,21.4,10,False,0.0
68,False,7.0,0.0,17.7,-4.83,13.8,13.8,28.4,21.7,10,False,0.0
69,False,14.7,0.0,13.8,-4.83,12.7,12.7,27.2,21.8,10,False,0.0
70,False,3.7,0.0,14.3,-4.83,14.7,14.7,27.6,22.8,10,False,0.0
71,False,44.4,0.0,19.5,-2.4,14.5,14.5,25.0,23.3,10,True,0.0
72,True,61.8,4.17,25.3,1.6,17.5,17.5,17.6,22.7,9,False,0.1
73,True,37.2,25.0,30.4,3.4,17.1,17.1,19.6,21.9,8,False,1.4
74,False,2.8,0.0,30.9,3.0,15.1,15.1,27.5,22.2,10,False,0.0
